10 10
100 4950 8
12 32 74
58 72 69
25 79 13
28 100 28
61 98 3
43 35 65
37 7 87
95 73 28
44 65 34
53 56 99
78 70 81
62 70 73
3 6 77
53 46 31
100 47 3
5 44 77
74 49 95
26 58 90
15 23 84
85 22 82
53 82 22
45 13 12
98 17 78
64 65 98
81 44 6
93 45 66
84 82 32
7 60 91
22 81 61
61 36 86
100 21 33
41 4 77
68 30 73
67 20 4
70 23 22
71 94 77
99 46 74
54 21 77
18 36 14
23 3 97
96 57 18
19 80 48
100 6 77
89 80 35
62 66 89
43 25 17
60 35 87
90 84 45
11 69 37
47 53 90
1 52 2
39 45 12
42 74 19
98 26 43
24 62 74
16 39 1
85 65 58
74 20 21
52 27 26
66 10 33
29 41 82
35 96 85
40 29 26
65 29 87
66 44 8
23 96 11
84 10 89
78 97 13
67 26 45
35 77 64
87 74 72
96 92 25
16 84 44
90 51 82
25 67 36
68 82 72
97 53 59
14 33 22
95 98 99
84 17 37
32 7 68
45 99 0
93 84 17
66 68 71
62 21 55
21 61 12
81 82 76
35 79 30
69 10 78
78 86 82
61 46 60
65 38 90
36 12 40
72 97 47
56 11 16
38 33 80
7 50 59
31 16 92
35 22 95
86 100 71
60 99 84
60 47 17
97 34 65
55 76 87
63 91 60
82 41 56
68 74 27
11 59 49
36 32 78
88 48 2
60 70 81
26 2 9
36 80 87
30 17 97
1 14 17
62 72 62
41 32 97
55 100 76
69 22 74
100 79 73
15 38 35
4 7 48
41 66 20
96 18 20
23 19 43
89 43 100
98 27 20
25 95 44
29 55 74
97 49 64
62 31 92
16 86 58
82 1 1
19 64 95
29 70 1
50 80 51
48 84 39
41 51 29
53 28 66
80 21 21
96 82 84
14 27 34
4 13 60
51 4 89
3 72 73
33 7 29
62 90 59
5 56 83
10 42 60
43 75 0
31 98 59
9 36 92
14 21 83
88 74 66
71 48 31
47 71 88
37 90 35
71 22 75
72 73 1
76 1 56
88 31 10
55 72 40
39 4 74
4 100 13
87 59 70
59 19 76
7 46 44
79 75 1
8 70 2
90 68 44
28 33 100
98 35 57
36 37 57
57 25 1
84 73 71
57 6 79
90 12 48
15 27 49
72 2 33
99 15 69
66 81 40
21 94 90
16 95 15
43 61 65
77 57 87
20 7 50
52 21 71
78 4 41
37 45 86
86 67 18
48 46 64
95 33 18
45 78 90
95 70 44
8 4 59
1 31 77
13 69 12
15 41 47
91 75 62
47 39 33
8 75 95
22 10 5
89 19 36
34 35 73
43 47 81
24 69 30
24 1 30
88 10 93
89 95 63
91 81 80
41 46 76
79 14 77
9 54 3
80 23 38
8 37 7
16 17 85
8 65 96
17 29 46
79 86 6
78 3 100
22 4 85
87 41 75
28 55 55
78 58 95
25 94 66
65 34 99
88 47 6
64 42 49
44 79 84
81 73 4
10 71 44
33 76 4
34 33 94
70 51 64
21 87 26
89 75 42
15 51 7
20 3 40
79 83 82
69 38 23
6 33 20
100 88 16
28 69 73
20 17 51
19 84 64
13 27 18
34 58 11
18 55 59
34 24 7
15 50 59
70 97 18
57 55 37
46 33 21
92 38 50
68 19 99
13 81 29
67 100 5
89 68 98
19 43 24
34 50 89
65 61 25
62 61 46
7 68 24
68 67 58
78 17 22
32 10 86
89 48 18
73 91 80
90 54 23
49 81 47
60 79 2
61 27 40
94 64 93
46 86 27
94 27 51
83 40 2
33 77 24
92 17 57
79 99 92
36 98 64
25 6 33
33 23 97
59 7 43
65 86 10
62 10 37
5 8 100
56 100 44
15 42 53
89 50 89
96 11 22
27 18 39
38 94 100
99 61 30
72 59 96
14 20 64
93 35 65
89 25 40
98 58 53
80 69 40
99 58 54
87 93 36
9 73 18
64 99 56
2 98 95
28 95 20
81 97 7
67 19 21
21 78 21
9 48 100
63 53 98
3 10 96
3 66 61
81 57 97
70 66 53
95 7 26
86 58 78
44 35 86
91 37 43
2 19 84
41 99 48
95 32 92
68 36 34
58 5 32
96 33 81
95 92 41
24 26 19
96 85 48
