10 10
10 45 8
7 10 34
8 4 21
9 5 63
5 1 64
8 3 100
1 9 81
1 2 2
4 1 23
10 2 99
1 8 47
6 2 17
6 7 74
3 1 34
4 5 1
2 9 22
6 10 48
2 7 17
1 6 11
5 10 7
7 9 8
8 6 33
3 10 99
9 8 34
6 9 5
4 2 14
9 4 55
7 8 7
3 9 41
4 10 95
3 7 11
2 8 64
4 7 89
5 6 29
10 9 63
8 5 71
2 3 33
1 7 65
4 6 99
3 6 21
8 10 33
10 1 11
7 5 40
2 5 59
3 5 29
4 3 72

10 45 8
10 8 14
9 4 40
3 4 53
2 7 77
3 6 22
2 8 64
3 5 57
8 1 33
3 1 3
5 1 21
5 2 87
10 4 79
7 9 69
1 2 47
8 7 38
4 8 42
5 6 97
6 8 100
1 4 29
4 6 7
1 10 10
9 2 34
9 10 56
9 1 59
4 2 46
9 8 1
9 3 76
5 4 28
2 6 99
5 10 73
10 6 93
5 7 15
10 3 97
6 7 6
8 3 95
7 10 12
9 5 4
8 5 2
1 6 44
3 2 5
2 10 61
4 7 4
6 9 21
3 7 31
1 7 43

10 45 8
2 10 4
3 6 14
7 1 73
3 9 82
8 9 6
7 9 84
3 4 2
5 9 90
10 6 69
8 5 39
6 8 53
6 5 93
6 2 29
10 7 74
1 2 96
8 1 67
6 4 83
9 2 3
8 7 71
3 8 88
1 9 63
1 3 84
4 8 100
3 7 89
4 7 77
5 10 62
4 9 70
8 10 89
4 10 59
5 3 57
5 2 43
1 6 12
10 1 52
10 9 23
5 4 60
2 3 40
7 2 18
5 1 35
8 2 100
4 1 83
2 4 1
9 6 31
7 6 90
5 7 33
10 3 63

10 45 8
2 7 83
8 6 20
6 7 59
1 4 83
10 4 70
4 6 10
9 4 31
5 8 52
1 7 93
3 4 37
10 2 22
9 5 80
10 3 99
9 2 46
5 1 85
2 5 5
2 4 20
7 4 6
3 8 79
3 2 67
5 10 97
5 7 97
8 1 86
1 3 22
10 8 1
8 7 68
10 9 41
2 1 3
5 3 64
4 5 58
7 10 92
10 1 61
6 10 49
2 8 39
8 9 15
6 1 18
6 2 72
4 8 70
3 7 24
9 1 21
6 5 15
9 7 32
3 9 75
9 6 76
3 6 75

10 45 8
6 8 79
4 2 47
5 9 82
8 7 96
4 7 24
3 1 100
6 2 1
8 1 68
7 1 93
8 9 34
5 7 25
4 5 88
5 2 12
3 10 43
4 1 95
10 6 68
10 9 53
9 4 86
9 6 30
9 3 82
2 7 60
4 3 65
7 10 27
8 4 74
5 10 98
1 5 78
3 6 55
3 5 41
3 2 76
2 1 19
10 1 68
7 3 9
9 7 6
9 2 54
7 6 41
2 10 95
8 3 8
5 8 6
8 2 12
4 6 12
8 10 88
6 5 4
1 6 96
10 4 8
9 1 10

10 45 8
6 1 77
9 6 5
8 5 95
8 10 34
2 7 51
8 4 17
8 2 99
4 3 6
10 6 66
3 10 88
3 5 60
10 5 45
5 1 73
1 10 48
1 3 94
4 5 16
7 6 84
5 9 31
4 7 100
1 7 19
2 3 41
7 8 84
1 9 28
8 9 13
7 10 54
4 2 79
6 8 11
9 4 91
3 7 60
8 1 18
3 6 32
4 10 58
4 6 51
7 5 8
2 9 83
4 1 44
2 5 91
5 6 16
8 3 50
6 2 5
10 9 98
9 7 2
2 1 40
2 10 11
3 9 77

10 45 8
7 6 99
2 1 95
8 6 7
4 1 66
3 1 69
7 4 32
9 10 16
6 10 13
5 4 93
7 9 85
8 9 26
5 7 1
2 10 80
8 4 21
10 5 95
10 3 26
6 9 89
8 2 54
1 7 56
5 9 33
6 5 85
10 4 41
8 7 8
4 6 78
1 9 38
6 1 58
7 2 99
5 2 74
3 9 14
2 4 34
2 6 59
9 2 12
7 3 48
1 10 5
3 2 61
10 8 16
5 3 85
3 6 49
1 8 65
5 1 52
3 8 35
9 4 36
4 3 50
5 8 44
10 7 79

10 45 8
6 1 23
4 3 77
2 1 46
7 8 49
5 3 24
8 6 39
4 5 72
6 9 4
10 2 80
8 4 67
7 1 59
8 5 72
1 10 70
4 10 54
3 8 28
7 5 30
9 4 6
2 9 35
8 10 10
5 2 63
5 10 34
2 3 0
4 2 54
7 10 78
10 3 17
9 8 12
2 8 39
6 2 97
1 4 20
6 4 13
10 9 28
3 7 68
1 8 86
6 3 67
9 1 60
5 9 22
7 6 48
6 10 43
3 1 21
5 6 16
2 7 89
4 7 71
9 7 18
3 9 2
1 5 47

10 45 8
3 8 70
4 10 53
3 4 79
6 7 40
3 5 86
5 1 42
9 1 45
2 1 62
5 6 91
9 6 94
2 5 51
7 9 87
3 9 91
9 8 53
6 2 65
2 10 92
5 10 42
8 10 73
1 10 91
9 10 6
10 7 6
6 4 44
5 9 8
3 10 80
6 1 72
4 5 63
10 6 20
8 7 8
7 3 62
3 1 51
3 6 56
7 2 39
4 9 22
8 1 98
2 4 48
8 2 9
9 2 3
8 6 21
2 3 53
8 5 47
8 4 20
7 1 51
1 4 8
5 7 82
4 7 80

10 45 8
8 4 52
2 3 19
8 5 48
10 5 35
3 1 9
4 9 57
7 4 52
3 5 36
1 5 65
5 9 72
6 5 91
10 3 49
4 3 57
7 9 66
2 9 65
1 6 38
8 6 29
3 7 90
9 6 52
6 10 48
6 4 42
8 3 12
9 10 27
2 8 15
9 1 2
1 10 5
10 8 94
6 3 37
7 6 44
2 4 35
4 10 88
10 7 71
3 9 47
8 7 17
10 2 19
1 8 80
2 6 40
5 4 95
5 7 25
2 1 46
7 1 90
5 2 53
4 1 3
2 7 34
9 8 36

