10 10
50 1225 8
5 19 24
35 29 15
48 4 78
38 49 30
35 15 33
28 32 23
40 45 36
18 39 36
25 43 1
11 13 95
47 7 9
43 35 30
38 42 61
34 20 48
10 8 46
31 1 52
28 39 75
47 20 24
29 8 24
25 32 7
20 37 20
13 23 85
29 23 10
27 23 7
34 31 6
12 32 68
41 47 44
32 49 2
38 4 19
17 47 65
38 34 54
5 20 8
5 1 82
22 43 55
20 9 70
29 19 41
22 7 98
38 6 63
15 42 34
49 5 15
44 18 89
26 5 59
21 27 61
33 35 97
47 1 1
45 3 54
29 11 37
39 37 39
50 20 38
22 12 59
1 8 85
48 15 47
5 42 0
25 6 44
45 19 62
30 20 23
16 20 98
30 3 26
5 47 40
8 39 57
50 15 15
30 11 22
41 46 86
41 36 61
14 27 12
1 50 21
24 14 9
13 49 19
33 10 66
28 48 71
41 2 64
27 48 87
21 33 75
39 32 10
33 40 23
25 47 33
45 1 74
38 39 49
35 38 54
47 43 88
9 43 85
40 12 55
15 32 25
18 36 85
30 24 0
12 3 86
49 44 26
47 38 16
16 26 22
13 44 39
37 31 27
9 16 87
22 3 79
33 25 61
49 18 82
22 18 69
36 50 8
15 5 39
30 33 78
26 46 99
17 42 12
33 48 70
22 31 10
30 16 96
26 8 30
26 49 5
30 23 35
27 24 72
38 5 26
50 28 88
16 43 74
34 49 47
32 20 97
30 44 70
26 48 7
18 13 80
15 9 96
14 47 14
48 30 53
23 48 56
1 13 15
8 42 98
35 27 44
39 12 73
50 8 26
49 7 19
15 4 19
40 49 57
21 13 36
11 27 90
39 25 45
28 23 96
46 8 17
40 26 96
3 47 44
8 12 15
35 19 82
9 23 99
33 4 58
2 6 2
35 4 52
28 46 8
27 26 19
25 14 37
48 14 0
43 45 48
50 9 99
17 38 78
21 42 47
18 46 4
28 9 5
11 20 22
33 39 41
11 15 16
7 48 85
41 1 64
45 11 83
42 16 54
23 43 92
16 3 61
43 50 5
24 39 50
19 10 54
31 14 77
10 43 83
12 44 61
3 23 52
29 39 75
19 1 37
20 25 90
17 7 87
39 21 45
15 23 62
44 9 50
46 19 5
7 18 10
15 41 91
37 32 58
30 19 23
22 38 77
28 13 62
5 32 40
23 36 53
35 16 38
7 29 42
2 19 93
9 18 57
1 35 3
41 19 48
17 41 0
18 42 59
16 15 13
1 38 9
2 39 48
2 24 47
23 6 48
12 21 76
27 41 45
5 3 13
2 1 0
35 5 55
50 12 51
41 29 98
32 42 70
34 32 10
19 50 65
9 36 40
12 41 73
50 25 72
26 43 34
31 42 80
1 17 28
4 28 53
19 28 64
9 29 24
19 9 27
24 42 13
50 34 93
32 33 32
7 6 48
20 24 89
17 4 58
39 11 73
47 48 65
28 15 2
1 40 51
13 41 21
8 18 72
47 39 35
23 50 14
28 10 53
37 42 33
47 45 8
25 17 27
49 35 85
3 33 64
25 3 56
41 22 27
39 23 59
46 43 53
14 39 17
10 3 80
7 46 3
29 47 23
14 2 21
16 37 20
10 13 96
44 5 3
1 26 82
19 8 94
12 29 70
10 50 12
24 10 38
13 16 63
49 17 65
43 7 93
34 39 37
12 45 13
19 11 23
22 26 39
34 17 78
3 19 41
44 22 4
43 30 68
32 14 78
41 23 73
6 43 30
37 22 56
23 35 44
39 50 87
31 16 40
11 14 71
3 41 18
50 37 79
6 12 86
32 40 71
18 47 96
24 19 96
10 29 67
46 31 27
4 40 21
19 49 97
50 18 72
12 26 54
10 20 8
16 19 5
25 38 99
22 29 10
28 43 83
23 1 66
4 39 91
9 46 8
6 33 67
34 46 4
11 33 55
29 33 28
24 18 64
40 48 94
22 34 73
6 35 44
12 28 71
7 20 27
21 50 14
27 43 22
20 36 69
10 25 29
38 16 45
41 7 100
3 18 45
34 45 8
5 11 7
27 32 4
3 26 12
40 50 14
4 36 25
12 37 12
41 49 88
42 22 94
20 3 89
14 42 65
36 38 54
41 20 61
48 17 56
41 28 66
28 37 15
47 26 8
22 36 3
20 1 23
37 30 99
6 36 71
18 1 54
4 30 52
43 34 70
37 34 91
48 38 20
17 23 86
9 42 64
44 47 0
4 14 0
32 6 16
35 3 99
3 34 33
44 41 25
49 14 24
49 10 41
49 29 73
2 27 58
37 24 39
2 42 71
34 48 58
41 6 85
32 2 74
50 46 56
32 23 97
43 2 88
31 3 40
19 31 54
14 35 100
37 25 7
40 5 35
26 38 96
42 50 12
24 5 58
14 34 8
10 31 19
41 4 94
2 50 56
46 22 80
11 40 93
16 5 21
42 10 38
22 27 4
40 41 55
10 9 48
19 14 46
37 23 34
20 8 4
47 30 33
5 6 39
28 24 98
9 26 13
7 39 10
46 30 90
26 39 30
35 37 29
10 22 69
48 24 9
32 31 57
29 2 52
18 37 5
15 37 77
4 1 78
13 40 38
29 42 59
7 28 34
43 33 45
47 33 59
11 22 30
14 6 3
19 38 1
46 6 72
43 12 51
50 3 87
26 42 47
38 7 82
32 16 6
50 24 67
7 40 63
31 24 53
10 27 94
16 48 100
42 12 60
43 14 97
42 34 92
36 45 2
1 24 82
6 30 27
1 6 17
49 42 22
2 5 55
8 37 26
4 2 7
39 43 26
48 22 63
26 44 26
32 50 75
16 39 61
16 6 51
18 43 79
40 28 68
39 3 97
2 30 68
39 45 37
34 47 42
25 48 38
41 30 79
21 17 11
14 45 86
37 11 11
13 34 13
20 48 3
2 18 51
4 32 34
45 46 22
24 32 94
5 50 29
35 17 11
35 12 80
40 8 32
37 26 4
34 15 79
21 22 6
13 32 78
32 48 40
36 13 54
44 45 99
45 41 79
47 13 86
40 36 16
42 25 15
43 24 8
42 3 83
20 40 1
39 35 45
14 40 52
42 4 34
1 21 75
36 10 79
22 2 89
31 7 46
21 46 55
26 19 64
7 13 37
6 47 98
10 46 50
26 7 95
27 25 72
25 8 66
38 10 92
40 22 6
17 12 64
27 19 31
15 19 47
8 31 27
47 31 62
29 15 40
42 45 96
49 3 74
35 7 24
42 13 16
4 18 2
43 21 16
31 48 90
2 37 57
48 11 100
49 12 95
36 30 7
22 5 72
46 5 94
49 45 83
44 24 29
8 45 47
47 36 84
38 32 37
35 46 80
9 32 23
30 18 78
48 12 53
13 22 64
5 4 17
29 43 82
47 19 35
44 14 14
20 35 44
3 28 41
44 46 69
29 24 44
14 18 80
36 17 91
45 17 2
22 15 14
33 34 11
34 28 1
21 47 67
10 32 90
29 31 22
15 45 49
8 22 81
11 8 100
9 25 21
15 47 98
18 25 14
31 11 45
34 36 22
16 22 96
16 7 73
39 9 92
40 23 20
29 14 21
48 44 64
9 22 35
25 5 48
37 43 13
17 16 14
41 14 52
46 25 76
4 31 33
3 7 12
15 20 43
11 28 92
33 24 20
26 2 66
14 46 86
10 18 60
13 9 36
4 45 58
6 24 69
37 48 7
14 17 21
4 22 90
13 4 80
9 35 54
42 47 41
40 27 4
10 23 56
37 14 98
34 7 68
13 26 39
43 4 5
29 25 40
22 35 55
6 8 57
33 2 94
26 4 86
40 10 69
42 6 45
41 16 82
14 7 58
31 17 100
31 12 81
15 3 68
24 9 99
29 20 54
44 3 18
8 24 4
4 9 7
48 19 11
36 32 44
8 41 94
18 21 85
35 45 47
40 16 60
17 5 19
43 11 11
26 32 43
23 19 26
35 42 52
31 45 71
11 12 13
44 31 14
27 18 64
34 44 53
32 22 15
31 43 39
8 14 47
15 14 92
22 17 19
17 3 59
47 11 30
33 27 100
29 28 43
33 38 9
8 28 16
42 33 4
28 49 41
19 13 43
7 9 37
42 41 41
6 37 54
23 33 34
6 22 89
1 16 88
7 44 94
25 40 25
31 15 6
16 34 21
11 9 51
22 30 64
23 20 92
32 21 98
3 11 32
28 22 20
32 29 18
29 17 29
10 26 27
33 16 64
49 43 82
7 23 63
47 8 79
12 33 99
48 46 90
21 38 20
34 9 73
33 1 63
23 2 70
40 35 11
26 14 41
4 7 45
40 44 29
13 14 20
4 44 40
47 32 10
22 39 95
30 40 47
19 44 54
6 15 75
19 34 48
26 34 11
18 20 33
40 24 70
25 35 26
17 18 4
22 20 97
6 40 61
33 26 51
25 26 76
10 7 26
18 41 79
43 40 67
11 50 98
49 37 43
1 29 9
45 22 77
49 46 96
37 44 38
9 40 81
25 2 25
11 21 39
13 39 85
17 39 72
47 40 81
5 36 98
48 41 13
16 36 54
41 39 97
39 46 64
4 8 53
17 37 45
39 36 97
21 28 69
29 21 29
50 16 78
12 24 39
9 5 80
45 9 100
1 27 17
45 38 41
2 40 87
16 14 57
46 17 89
14 33 34
38 40 94
16 12 23
8 13 8
24 34 17
19 32 63
25 24 27
47 46 26
5 8 62
48 49 20
34 11 11
49 23 86
12 19 57
31 18 8
2 13 34
18 23 26
46 42 69
6 3 6
37 46 71
10 39 51
29 26 54
44 1 1
36 46 88
18 26 10
42 40 33
19 33 21
18 29 16
41 37 8
11 4 64
41 24 50
45 16 28
46 3 27
24 11 73
21 30 34
45 28 83
21 40 22
42 11 25
18 35 9
22 50 19
8 48 99
2 36 22
33 18 3
7 37 46
9 31 68
45 10 28
35 26 21
30 5 32
21 8 44
33 5 29
21 9 49
30 17 20
17 40 10
25 7 39
45 33 62
13 37 49
50 7 34
